data_case,variant,sharing,alpha,n_seeds,test_auc_mean,test_auc_std,client_sigma,rounds,final_mb,final_mb_saved,perclient_wmean,perclient_mean,perclient_std,perclient_worst_mean,valsel_pooled_mean,artifact
filtered,fedavg_full,full,0.1,3,0.5771,0.0055,0.0602,20.0,165.919,165.919,0.6057,0.5641,0.0063,0.4902,0.5771,False
filtered,fedavg_full,full,0.5,3,0.6438,0.001,0.0382,6.7,55.306,55.306,0.6576,0.6586,0.0016,0.6121,0.6438,False
filtered,fedavg_full,full,1.0,3,0.615,0.0027,0.0369,7.7,63.602,63.602,0.6436,0.6237,0.0025,0.5817,0.615,False
filtered,fedavg_full,full,5.0,3,0.6395,0.0011,0.0332,12.0,99.552,99.552,0.6574,0.6596,0.0014,0.5968,0.6395,False
filtered,fedavg_full,full,10.0,3,0.6481,0.0016,0.0254,10.3,85.725,85.725,0.6549,0.652,0.001,0.6166,0.6481,False
filtered,fedavg_partial,partial,0.1,3,0.6472,0.0238,0.0384,12.3,0.121,0.121,0.5969,0.5753,0.0058,0.5192,0.7006,False
filtered,fedavg_partial,partial,0.5,3,0.6059,0.0089,0.0226,9.3,0.092,0.092,0.5814,0.5747,0.0009,0.5507,0.6231,False
filtered,fedavg_partial,partial,1.0,3,0.6139,0.0034,0.0317,11.0,0.108,0.108,0.5885,0.5682,0.0051,0.5355,0.6478,False
filtered,fedavg_partial,partial,5.0,3,0.6044,0.0131,0.0204,10.7,0.105,0.105,0.5832,0.5829,0.006,0.5493,0.6413,False
filtered,fedavg_partial,partial,10.0,3,0.6116,0.0153,0.0192,8.3,0.082,0.082,0.5851,0.5836,0.0038,0.553,0.6228,False
filtered,fedgen_full,full,0.1,3,0.5822,0.0003,0.0919,11.3,95.192,95.081,0.6341,0.5745,0.0002,0.4588,0.5822,False
filtered,fedgen_full,full,0.5,3,0.6438,0.0,0.0398,8.0,67.194,67.116,0.6576,0.6584,0.0009,0.6105,0.6438,False
filtered,fedgen_full,full,1.0,3,0.619,0.0008,0.0362,8.3,69.994,69.913,0.6484,0.628,0.002,0.5842,0.619,False
filtered,fedgen_full,full,5.0,3,0.6388,0.0003,0.0316,12.7,106.391,106.267,0.6563,0.6581,0.0004,0.5977,0.6388,False
filtered,fedgen_full,full,10.0,3,0.6502,0.0013,0.025,11.3,95.192,95.081,0.6568,0.6538,0.0009,0.6202,0.6502,False
filtered,fedgen_full_medoid,full,0.1,3,0.5826,0.003,0.0847,15.7,131.589,131.436,0.6255,0.5716,0.0023,0.462,0.5826,False
filtered,fedgen_full_medoid,full,0.5,3,0.6443,0.0017,0.0392,9.7,81.193,81.099,0.658,0.6596,0.0009,0.6134,0.6443,False
