protocol,method,alpha,n_reps,best_mse,best_mse_std,last_mse,best_mae,last_mae,mse_improves,diverges
client_local,centralized,0.01,1,0.0308,0.0,0.0322,0.0704,0.0722,True,False
client_local,centralized,0.1,1,0.033,0.0,0.034,0.0734,0.0747,True,False
client_local,centralized,0.5,1,0.0325,0.0,0.0341,0.0734,0.0744,True,False
client_local,centralized,1.0,1,0.0322,0.0,0.0349,0.0723,0.0759,True,False
client_local,centralized,5.0,1,0.0324,0.0,0.0349,0.0731,0.0753,True,False
client_local,centralized,10.0,1,0.0325,0.0,0.0331,0.073,0.0755,True,False
client_local,fedavg,0.01,3,0.1521,0.0003,0.1673,0.2813,0.2813,True,False
client_local,fedavg,0.1,3,0.1709,0.0004,0.2123,0.3357,0.3357,False,False
client_local,fedavg,0.5,3,0.1717,0.0004,0.2166,0.3394,0.3394,False,False
client_local,fedavg,1.0,3,0.1719,0.0004,0.2163,0.3394,0.3394,False,False
client_local,fedavg,5.0,3,0.1718,0.0004,0.2179,0.3403,0.3403,False,False
client_local,fedavg,10.0,3,0.1718,0.0004,0.2181,0.3404,0.3404,False,False
client_local,fedavg-partial,0.01,1,0.0594,0.0,0.06,0.0952,0.0952,True,False
client_local,fedavg-partial,0.1,1,0.0952,0.0,0.1003,0.1481,0.1481,True,False
client_local,fedavg-partial,0.5,1,0.1506,0.0,0.1561,0.2628,0.2628,True,False
client_local,fedavg-partial,1.0,1,0.1367,0.0,0.1441,0.2243,0.2243,True,False
client_local,fedavg-partial,5.0,1,0.1704,0.0,0.1871,0.3259,0.3259,True,False
client_local,fedavg-partial,10.0,1,0.1715,0.0,0.1962,0.3339,0.3339,True,False
client_local,fedgen,0.01,3,0.0554,0.0009,0.0567,0.1352,0.1357,True,False
client_local,fedgen,0.1,3,0.0461,0.0003,0.0463,0.1101,0.1101,True,False
client_local,fedgen,0.5,3,0.0405,0.0007,0.0412,0.0964,0.0964,True,False
client_local,fedgen,1.0,3,0.04,0.0007,0.0406,0.0954,0.0954,True,False
client_local,fedgen,5.0,3,0.0409,0.0014,0.0414,0.0975,0.0975,True,False
client_local,fedgen,10.0,3,0.0396,0.0001,0.0402,0.0944,0.0944,True,False
client_local,fedgen-partial,0.01,3,0.0429,0.0002,0.0444,0.0752,0.0752,True,False
client_local,fedgen-partial,0.1,3,0.0554,0.0023,0.0554,0.1064,0.1064,True,False
client_local,fedgen-partial,0.5,3,0.0478,0.0019,0.0478,0.1089,0.1089,True,False
client_local,fedgen-partial,1.0,3,0.0581,0.0009,0.0581,0.1218,0.1218,True,False
client_local,fedgen-partial,5.0,3,0.0408,0.0012,0.041,0.0994,0.0994,True,False
client_local,fedgen-partial,10.0,3,0.0396,0.0001,0.0401,0.0957,0.0957,True,False
global,fedgen,0.01,1,0.0613,0.0,0.0613,0.1576,0.1576,True,False
global,fedgen,0.1,1,0.0487,0.0,0.0499,0.1306,0.1306,True,False
global,fedgen,0.5,1,0.0407,0.0,0.0407,0.111,0.111,True,False
global,fedgen,1.0,1,0.0457,0.0,0.0457,0.1229,0.123,True,False
global,fedgen,5.0,1,0.0421,0.0,0.0423,0.1051,0.1051,True,False
global,fedgen,10.0,1,0.0393,0.0,0.0393,0.0991,0.0991,True,False
global,fedgen-partial,0.01,1,0.1751,0.0,0.2531,0.3692,0.3692,False,False
global,fedgen-partial,0.1,1,0.1751,0.0,0.2662,0.3769,0.3769,False,False
global,fedgen-partial,0.5,1,0.0962,0.0,0.0981,0.188,0.188,True,False
global,fedgen-partial,1.0,1,0.1317,0.0,0.1358,0.2294,0.2297,True,False
global,fedgen-partial,5.0,1,0.0466,0.0,0.0471,0.1251,0.1251,True,False
global,fedgen-partial,10.0,1,0.0406,0.0,0.0409,0.1029,0.1029,True,False
